id,cuisine
18009,british
28583,british
41580,moroccan
29752,cajun_creole
35687,italian
38527,british
19666,spanish
41217,chinese
28753,mexican
22659,british
21749,italian
44967,british
42969,moroccan
44883,italian
20827,british
23196,british
35387,jamaican
33780,cajun_creole
19001,russian
16526,southern_us
42455,japanese
47453,irish
42478,moroccan
11885,vietnamese
16585,italian
29639,irish
26245,vietnamese
38516,korean
47520,italian
26212,southern_us
23696,mexican
14926,thai
13292,japanese
27346,japanese
1384,chinese
15959,indian
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,filipino
23120,chinese
26743,french
12741,mexican
7050,greek
22437,greek
14760,spanish
10649,british
48065,vietnamese
39931,korean
32935,greek
40142,thai
19103,jamaican
38267,greek
30512,italian
3324,chinese
26197,french
384,japanese
47230,chinese
39748,cajun_creole
41038,chinese
24878,southern_us
42624,filipino
45706,korean
8874,mexican
23878,greek
47234,filipino
24075,thai
46323,italian
22562,filipino
11358,spanish
9201,indian
38620,thai
47638,british
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,chinese
48178,spanish
45832,greek
27560,korean
23247,british
28975,british
43230,greek
9126,thai
13021,cajun_creole
28194,thai
25617,brazilian
36125,italian
16454,mexican
1607,korean
38526,moroccan
18755,indian
12035,british
16047,greek
15419,italian
16971,indian
31459,british
27888,british
13900,spanish
12376,thai
1658,korean
29431,thai
22290,italian
28464,italian
37953,korean
20814,moroccan
35987,korean
2329,italian
43237,filipino
30647,british
16675,mexican
37722,indian
32438,japanese
20287,filipino
43296,indian
6237,jamaican
48560,korean
20810,mexican
34951,french
31850,filipino
47745,cajun_creole
37815,vietnamese
9872,italian
5592,greek
27411,vietnamese
39320,irish
40247,british
19792,mexican
40754,spanish
14365,mexican
14468,vietnamese
47563,mexican
19611,spanish
7163,mexican
43069,filipino
27505,chinese
36500,thai
25932,southern_us
817,italian
8471,british
48250,irish
9413,cajun_creole
12097,cajun_creole
8416,greek
5892,cajun_creole
676,jamaican
47015,japanese
21891,greek
14630,spanish
36195,korean
25981,mexican
39964,cajun_creole
28298,indian
31954,french
26620,brazilian
14932,british
47426,thai
1038,british
8077,british
37141,irish
45447,vietnamese
9624,mexican
45589,british
7265,spanish
31844,vietnamese
13046,italian
9867,southern_us
29184,spanish
34783,spanish
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,cajun_creole
18193,irish
46545,italian
9900,vietnamese
14815,thai
39690,french
22193,southern_us
11739,vietnamese
27311,chinese
36920,indian
7861,indian
29248,moroccan
43142,mexican
7574,filipino
8610,mexican
989,italian
46926,mexican
40816,thai
39726,japanese
42229,british
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,british
42494,italian
15968,filipino
20484,vietnamese
26661,thai
47182,mexican
22528,british
3861,thai
1203,french
45040,japanese
33287,indian
10097,jamaican
42005,irish
12423,spanish
39613,filipino
30276,irish
18686,mexican
3031,british
40093,greek
182,spanish
46591,moroccan
4092,chinese
13722,southern_us
44575,greek
14989,spanish
13270,british
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,thai
27935,italian
28198,mexican
37765,indian
33856,vietnamese
30198,greek
42521,british
21567,cajun_creole
36995,russian
24967,thai
45002,jamaican
48925,thai
36914,british
2280,irish
14729,cajun_creole
4594,korean
2237,moroccan
45631,moroccan
2317,chinese
23079,irish
29333,chinese
48066,filipino
15737,italian
30580,greek
1119,japanese
46336,moroccan
5026,spanish
10749,indian
31020,mexican
30805,irish
27653,vietnamese
35060,mexican
39174,indian
49509,greek
31784,british
31408,filipino
36029,filipino
11045,cajun_creole
6561,southern_us
26992,british
31179,southern_us
35099,moroccan
11018,japanese
17930,mexican
21302,greek
46352,korean
25132,french
7010,irish
25850,british
19601,mexican
7935,italian
34994,vietnamese
25113,spanish
45523,italian
34977,vietnamese
7124,vietnamese
27514,british
27178,mexican
47880,korean
29197,british
16347,irish
20333,thai
29112,chinese
7510,british
13897,korean
35699,moroccan
20520,mexican
38920,brazilian
21775,indian
37475,japanese
40131,cajun_creole
1939,mexican
48268,filipino
34815,southern_us
13797,italian
39063,chinese
29064,chinese
26896,spanish
29477,southern_us
3352,southern_us
4966,mexican
7316,british
23879,mexican
16525,spanish
32843,moroccan
39574,filipino
32737,mexican
44788,filipino
28772,italian
34189,mexican
33719,spanish
25846,indian
1423,indian
4328,vietnamese
579,british
5219,indian
2314,cajun_creole
31143,spanish
13409,korean
3281,greek
15804,thai
40835,southern_us
39262,korean
37013,moroccan
14807,jamaican
47956,filipino
2580,mexican
13720,southern_us
23008,chinese
5951,indian
39312,mexican
6176,british
17617,korean
57,mexican
43422,indian
49403,british
44751,british
21865,mexican
26584,british
39355,korean
14038,japanese
45396,russian
49715,mexican
41515,thai
30445,spanish
4090,mexican
17207,thai
40376,russian
19398,spanish
22347,vietnamese
49671,mexican
40854,spanish
926,korean
47919,mexican
20571,italian
18866,british
48742,thai
14577,spanish
29481,italian
40996,italian
34470,moroccan
31147,mexican
35932,korean
27221,italian
48301,greek
29925,vietnamese
48640,thai
22873,jamaican
10565,cajun_creole
15509,filipino
37569,british
13306,chinese
40474,italian
15182,filipino
8609,chinese
32168,japanese
1125,thai
25244,greek
46889,chinese
13841,vietnamese
47135,moroccan
29036,indian
43533,korean
41631,southern_us
22124,cajun_creole
